RandR_ID,"Article_title, link to abstract, related articles pubmed, etc.",Sentence (search term in bold),Graphic user interface,Lead author and journal,Publication date ASC
a11597215,CapsTM: capsule network for Chinese medical text matching,"We compare CapsTM with the following state-of-the-art deep learning neural networks: ESIM [1] , ABCNN [2] , BIMPM [3] , DISAN [4] , DRCN [5] , DECOMP [6] and BERT [7] .",a11597215,"Yu, Xiaoming; Shen, Yedan....(BMC Med Inform Decis Mak)",2021.07.30
a11034017,How Instructional Design Is Operationalized in Various Industries for job-Seeking Learning Designers: Engaging the Talent Development Capability Model,A range of resources should be articulated to foster deep learning and extend coursecentered experiences and activities.,a11034017,"North, Cara; Shortt, Mitc....(TechTrends)",2021.07.29
a11580693,Automated image classification of chest X-rays of COVID-19 using deep transfer learning,"In this study, we established an early screening and fully automated model with end-to-end structure without necessitating feature extraction for the detection of COVID-19 from Chest X-Ray images with",a11580693,"Dilshad, Sara; Singh, Nik....(Results Phys)",2021.07.28
a13624468,"News recommender system: a review of recent progress, challenges, and opportunities",These deep learning solutions and the challenges they have addressed for the NRS are summarized in Table 4 .,a13624468,"Raza, Shaina; Ding, Chen....(Artif Intell Rev)",2021.07.21
a10568867,A Radiomics-Boosted Deep-Learning Model for COVID-19 and Non-COVID-19 Pneumonia Detection Using Chest X-ray Image,"Thus, the achieved radiomics-boost deep learning can be better interpreted by qualitative image descriptions within in current clinician knowledge domain.",a10568867,,2021.07.19
a13395213,Artificial intelligence and kidney transplantation,"In addition, they utilized a deep learning-based classifier, namely, 'stacked autoencoders', to differentiate non-rejection from acute rejection in renal transplants [9] .",a13395213,"Seyahi, Nurhan; Ozcan, Se....(World J Transplant)",2021.07.18
a13625448,Designing and fabricating materials from fire using sonification and deep learning,"This work has highlighted several features of ''fire'' at the nexus of physics, engineering, and art, and we reported the first nature-inspired material design from fire, including the materialization",a13625448,"Milazzo, Mario; Buehler, ....(iScience)",2021.07.16
a12859349,Deep Learningâ€“Based Approaches to Improve Classification Parameters for Diagnosing COVID-19 from CT Images,"The classifications related to the first two experiments were carried out through one of the actual deep learning methods, that is, CNN.",a12859349,"Yasar, Huseyin; Ceylan, M....(Cognit Comput)",2021.07.15
a10253656,Artificial Intelligence in PET: an Industry Perspective,Another potential concern is that AI and deep learning methods either by accident or maliciously may introduce perturbations in the images.,a10253656,,2021.07.14
a12552207,Communication-Efficient Hierarchical Federated Learning for IoT Heterogeneous Systems with Imbalanced Data,"Hence, the adopted deep learning models, described earlier, are sufficient for this purpose.",a12552207,,2021.07.14
a11905938,Image and structured data analysis for prognostication of health outcomes in patients presenting to the Emergency Department during the COVID-19 pandemic,"In addition, chest radiographs can be inputted into a deep learning model to further assess these risks.",a11905938,,2021.07.08
a11599933,A cognitive IoT-based framework for effective diagnosis of COVID-19 using multimodal data,Radiology imaging techniques can be coupled with deep learning for automated and accurate diagnosis of COVID-19.,a11599933,"Jayachitra, V P; Nivetha,....(Biomed Signal Process Control)",2021.07.07
a14082611,Deep neural networks ensemble to detect COVID-19 from CT scans,The adopted deep learning models drop from 87.68% to 56.16% percent of accuracy highlighting the necessity of further studies.,a14082611,"Aversano, Lerina; Bernard....(Pattern Recognit)",2021.07.07
a11566584,A Robust Context-Based Deep Learning Approach for Highly Imbalanced Hyperspectral Classification,Deep learning high speed and accuracy come with a price: subject matter expert labor to label.,a11566584,"Ramirez Rochac, Juan F.; ....(Comput Intell Neurosci)",2021.07.06
a11397556,A Sustainable Early Warning System Using Rolling Forecasts Based on ANN and Golden Ratio Optimization Methods to Accurately Predict Real-Time Water Levels and Flash Flood,"However, the Adam algorithm is mainly employed with deep learning process and showed better results compared to RMSProp but with high computational cost.",a11397556,"Alasali, Feras; Tawalbeh,....(Sensors (Basel))",2021.07.05
a12567143,"ITSUS: Integrated, Tiered, Self-Directed Ultrasound Scanning for Learning Anatomy",The flipped classroom model effectively improves deep and active learning [19] .,a12567143,"Boulger, Creagh; Prats, M....(Cureus)",2021.07.02
a11401528,JUWELS Booster -- A Supercomputer for Large-Scale AI Research,"AD is a critical feature of modern deep learning libraries, but most libraries 6 support AD only on a single node, and no deep learning library supports AD with MPI requiring extensions.",a11401528,,2021.06.30
a10965012,Method for Diagnosing the Bone Marrow Edema of Sacroiliac Joint in Patients with Axial Spondyloarthritis Using Magnetic Resonance Image Analysis Based on Deep Learning,"Deep-learning technology has achieved remarkable performance in general RGB image analyses, and various studies are actively using deep learning for medical image analyses.",a10965012,"Lee, Kang Hee; Choi, Sang....(Diagnostics (Basel))",2021.06.24
a11487068,PALMAR: Towards Adaptive Multi-inhabitant Activity Recognition in Point-Cloud Technology,"The core of our proposed architecture is an adaptive deep learning framework that consists of the following modules: Person tracker module combines voxel representator, DBSCAN and BIRCH clustering met",a11487068,,2021.06.22
a12583130,Digital Biosurveillance for Zoonotic Disease Detection in Kenya,"The search was conducted for each disease individually and then run through the AAID pipeline full-text extraction, relevance machine learning, and active event deep learning algorithms.",a12583130,"Keshavamurthy, Ravikiran;....(Pathogens)",2021.06.22
a13611107,IoT-enabled stacked ensemble of deep neural networks for the diagnosis of COVID-19 using chest CT scans,"Additionally, we presume L overall deep learning sub-models (level-0 models) where l-th model denoted by M l , for l = 1, , L is invoked on the training dataset.",a13611107,"Shorfuzzaman, Mohammad....(Computing)",2021.06.21
a13220385,ADVIAN: Alzheimer's Disease VGG-Inspired Attention Network Based on Convolutional Block Attention Module and Multiple Way Data Augmentation,This paper proposes a novel VGG-inspired network as the mainstay and combines the attention mechanism with VIN to produce a new ADVIAN deep-learning model to detect AD.,a13220385,"Wang, Shui-Hua; Zhou, Qin....(Front Aging Neurosci)",2021.06.18
a13605556,Synthetic COVID-19 Chest X-ray Dataset for Computer-Aided Diagnosis,"We report results in Figure 2 for Normal vs. COVID-19 and Pneumonia vs. COVID-19 tasks when using G N C , instead of G P C , as additional training data across various deep learning architectures.",a13605556,,2021.06.17
a12605622,Incorporating active learning activities to the design and development of an undergraduate software and web security course,By allowing students to build and increase their skill sets active learning supports deeper competency and engagement from the learner.,a12605622,"Srivatanakul, Thitima; An....(J)",2021.06.16
a13379503,Distinguishing nontuberculous mycobacteria from Mycobacterium tuberculosis lung disease from CT images using a deep learning framework,"In addition, the deep learning model was significantly more efficient than the radiologists, requiring only 0.04 ~ 0.06 s/CT, which was nearly 1000 times faster than the radiologists.",a13379503,"Wang, Li; Ding, Wenlong; ....(Eur J Nucl Med Mol Imaging)",2021.06.16
a11675615,Deciphering Human Leukocyte Antigen Susceptibility Maps From Immunopeptidomics Characterization in Oncology and Infections,DeepRescore includes peptide characteristics derived from deep learning predictions (among which stand accurate retention time and MS/MS spectrum prediction) with previously used functions to reproduc,a11675615,"Juanes-Velasco, Pablo; La....(Front Cell Infect Microbiol)",2021.05.28
a10466382,An optimized transfer learning-based approach for automatic diagnosis of COVID-19 from chest x-ray images,Convolutional Neural Network (CNN) is considered one of the most effective deep learning approaches for accurately analyzing medical images.,a10466382,"M. Bahgat, Waleed; Magdy ....(PeerJ Comput Sci)",2021.05.27
a13649735,Deep Learning for Depression Recognition with Audiovisual Cues: A Review,"Designing a representative feature and its extraction for predicting the scale (i.e., severity) of depression is an important step in the deep learning architecture for ADE.",a13649735,,2021.05.27
a13379702,Transparent Model of Unabridged Data (TMUD),"In addition, the deep learning discipline has encouraged (enforced in many cases) the practice of sharing code and even data and/or pretrained models with researchers, greatly accelerating diffusion.",a13379702,,2021.05.23
a10063999,Normalizing images is good to improve computer-assisted COVID-19 diagnosis,Such an absence is especially problematic for deep learning models since they demand an extensive amount of data for a proper generalization over real-world scenarios.,a10063999,"dos Santos, Claudio Filip....(Data Science for COVID-19)",2021.05.21
a11919316,Covid-19 Detection from Chest X-ray and Patient Metadata using Graph Convolutional Neural Networks,A collection of a larger datasets of these CXR images is a requirement for better performance in deep learning but hard to achieve given the lack of available data and data is being collected on the f,a11919316,,2021.05.20
a12091854,The overfitted brain: Dreams evolved to assist generalization,"As will be discussed, the OBH fits with known biological understanding and data, matches better with dream phenomenology than most other theories, draws various antecedents and similar approaches unde",a12091854,"Hoel, Erik....(Patterns (N Y))",2021.05.14
a13373509,Automatic detection of coronavirus disease (COVID-19) using X-ray images and deep convolutional neural networks,"In addition, the results will be compared with deep learning models.",a13373509,"Narin, Ali; Kaya, Ceren; ....(Pattern Anal Appl)",2021.05.09
a10347453,Health-system implementation of a collaborative core curriculum for advanced pharmacy experiential education during the COVID-19 pandemic.,These students were assigned according to alignment of the topic area with their rotation type to allow for deeper learning and accountability in their assigned rotation type.,a10347453,"Montepara, Courtney A; Sc....(American journal of health-system pharmacy : AJHP : official journal of the American Society of Health-System Pharmacists)",2021.05.06
a14082571,A modern deep learning framework in robot vision for automated bean leaves diseases detection,Table 4 shows the performance comparison of the adopted five deep learning models.,a14082571,"Abed, Sudad H.; Al-Waisy,....(Int J Intell Robot Appl)",2021.04.30
a10190217,PocketNet: A Smaller Neural Network for Medical Image Analysis,"Abstract-Medical imaging deep learning models are often large and complex, requiring specialized hardware to train and evaluate these models.",a10190217,,2021.04.21
a13379513,A two-step rumor detection model based on the supernetwork theory about Weibo,"In addition, deep learning algorithms will be applied in our future works.",a13379513,"Dong, Xuefan; Lian, Ying;....(J Supercomput)",2021.04.01
a11643930,Covid-19 detection via deep neural network and occlusion sensitivity maps,We aim at developing an efficient and effective deep learning model that can provide accurate predictions.,a11643930,,2021.03.30
a10926847,Handling of uncertainty in medical data using machine learning and probability theory techniques: a review of 30 years (1991â€“2020),"In , an active learning framework is combined with Bayesian deep learning.",a10926847,"Alizadehsani, Roohallah; ....(Ann Oper Res)",2021.03.21
a12498732,Using Machine Learning along with Data Science algorithms to pre-process and forecast COVID-19 Cases and Deaths,This paper focuses on the huge benefits of using deep learning algorithms and activation functions rather than simple auto-regressiv models.,a12498732,,2021.03.17
a12509498,CACTUS: Detecting and Resolving Conflicts in Objective Functions,"For example, people have looked at interpreting latent representations learned by deep neural networks through activation maximization techniques [51] .",a12509498,,2021.03.13
a11362311,Vision Transformer for COVID-19 CXR Diagnosis using Chest X-ray Feature Corpus,"Accordingly, many approaches have been proposed using deep learning to diagnose COVID-19 with CXR [11, 14, 16, 22] , but they suffered from common problems of limited number of labelled COVID-19 data,",a11362311,,2021.03.12
a10451145,Time series extrinsic regression: Predicting numeric values from time series data,FCN is the most accurate deep learning model for multivariate TSC on 12 multivariate time series datasets (Baydogan and Runger 2015) and the second most accurate deep learning model for univariate TSC,a10451145,"Tan, Chang Wei; Bergmeir,....(Data Min Knowl Discov)",2021.03.11
a11100712,The Effectiveness of Image Augmentation in Deep Learning Networks for Detecting COVID-19: A Geometric Transformation Perspective,"The results show that data augmentation is not a required step and actually harmed the deep learning model in this case, by exposing it to a large amount of distorted (or noise) images.",a11100712,"Elgendi, Mohamed; Nasir, ....(Front Med (Lausanne))",2021.03.01
a12566918,Indulging interactivity: a learning management system as a facilitative boundary object,"Therefore, instructors are in greater need of a dynamic tool system for deeper and more active digital learning.",a12566918,"Chang, Sharon; Kuo, Annie....(SN Soc Sci)",2021.03.01
a12718033,Medical Image Segmentation with Limited Supervision: A Review of Deep Network Models,"Shape-prior based segmentation [94] - [96] , [107] - [113] has been an active research topic in the context of deep learning to obtain more accurate and anatomically plausible segmentation.",a12718033,,2021.02.28
a11563998,A Comprehensive Review of Computer-Aided Diagnosis of Major Mental and Neurological Disorders and Suicide: A Biostatistical Perspective on Data Mining,A literature search of the online database of PubMed between 2016 and 2021 was performed using the terms (bipolar OR bipolar disorder OR schizophrenia OR suicide OR Alzheimer OR dementia OR major depr,a11563998,"Mansourian, Mahsa; Khadem....(Diagnostics (Basel))",2021.02.25
a11580694,On the Adoption of Radiomics and Formal Methods for COVID-19 Coronavirus Diagnosis,"Therefore, they randomly selected a ROI and they created a deep learning model with an accuracy of 0.82%.",a11580694,"Santone, Antonella; Belfi....(Diagnostics (Basel))",2021.02.12
a12481399,DeepCoroNet: A deep LSTM approach for automated detection of COVID-19 cases from chest X-ray images,"Many filter and activation operations are utilized in the deep learning approaches, and the inputs are processed in these operations.",a12481399,"Demir, Fatih....(Appl Soft Comput)",2021.02.08
a11669968,Social and behavioral determinants of health in the era of artificial intelligence with electronic health records: A scoping review,"Developing accurate deep learning models in SDOH requires a large amount of annotated training data, which is a time-consuming and labor intensive process.",a11669968,,2021.01.22
a12677164,Strategies for enhancing remote student engagement through active learning,"Thus, we still see a deeper understanding of material after an active learning session.",a12677164,"Venton, B. Jill; Pompano,....(Anal Bioanal Chem)",2021.01.18
a10755941,LaDiff ULMFiT: A Layer Differentiated training approach for ULMFiT,In this paper we present a similar Deep Learning technique which competed in AAAI SHARED TASK @,a10755941,,2021.01.13
a12083985,Challenges and approaches to time-series forecasting in data center telemetry: A Survey,"As we do not want to introduce an additional deep learning framework in our production code, it was decided not to evaluate GluonTS.",a12083985,,2021.01.11
a13254878,Deep Learning applications for COVID-19,Parameter optimizers from Deep Learning such as Adam [11] can be used to solve differential equations as well.,a13254878,"Shorten, Connor; Khoshgof....(J Big Data)",2021.01.11
a13381289,Artificial Intelligence in Drug Discovery: A Comprehensive Review of Data-driven and Machine Learning Approaches,"In addition, deep learning can entail connectivity in a graph, aggregating locality, which is called graph convolution.",a13381289,"Kim, Hyunho; Kim, Eunyoun....(Biotechnol Bioprocess Eng)",2021.01.07
a11716180,PLAAN: Pain Level Assessment with Anomaly-detection based Network,[34] conducted a survey on deep learning techniques for abnormal activity detection.,a11716180,"Li, Yi; Ghosh, Shreya; Jo....(J Multimodal User Interfaces)",2021.01.06
a10583675,Editorial commentary: Evidence-based medicine during a pandemic,There is perhaps no deeper learning achieved than that garnered through lived experiences.,a10583675,"Farina, Juan Maria; Libli....(Trends Cardiovasc Med)",2021.01.02
a12734968,"Semantics for Robotic Mapping, Perception and Interaction: A Survey","An efficient first-order approximation of rank-pooling, known as Dynamic Images [386] , has been applied successfully in many deep learning approaches for activity classification.",a12734968,,2021.01.02
a10190930,Deep Learning for Retinal Image Quality Assessment of Optic Nerve Head Disorders.,"ABSTRACT Deep learning (DL)-based retinal image quality assessment (RIQA) algorithms have been gaining popularity, as a solution to reduce the frequency of diagnostically unusable images.",a10190930,"Chan, Ebenezer Jia Jun; N....(Asia-Pacific journal of ophthalmology)",2021.01.01
a11554849,Classification analysis of COVID19 patient data at government hospital of banyumas using machine learning,"For the future, this dataset could be examined by using Deep Learning (DL) algortihms to improve the accuracy.",a11554849,"Putra, I. M.; Tahyudin, I....(2nd International Conference on Smart Computing and Electronic Enterprise, ICSCEE 2021)",2021.01.01
a11617062,FCOD: Fast COVID-19 Detector based on deep learning techniques,"In this paper, we proposed a fast and accurate deep learning model for the detection of COVID-19 from X-ray images.",a11617062,"Panahi, Amir Hossein; Raf....(Inform Med Unlocked)",2020.12.24
a11693427,Rapid COVID-19 Diagnosis Using Deep Learning of the Computerized Tomography Scans,"In this pioneer research the interaction between the chest CT and the clinical symptoms is conducted through basic machine learning methods, i.e., SVM, random forest, MLP, and deep learning to accurat",a11693427,,2020.12.23
a12100460,Lightweight deep learning models for detecting COVID-19 from chest X-ray images,"Additionally, they employed three different deep learning models with transfer learning [15] .",a12100460,"Karakanis, Stefanos; Leon....(Comput Biol Med)",2020.12.22
a10425755,Hybrid-COVID: a novel hybrid 2D/3D CNN based on cross-domain adaptation approach for COVID-19 screening from chest X-ray images,"In this paper, a faster and more accurate deep learning system has been developed for screening the COVID-19 pandemic based on the combination of a deep 2D CNN pretrained on ImageNet (i.e. VGG16 [34]",a10425755,"Bayoudh, Khaled; Hamdaoui....(Phys Eng Sci Med)",2020.12.10
a13752091,"Design, Screening, and Testing of Non-Rational Peptide Libraries with Antimicrobial Activity: In Silico and Experimental Approaches","For adequate deep learning experimentation, there are four important aspects to consider: (i) databases, (ii) architectures (the type of neural networks), (iii) molecular-input representation, and (iv",a13752091,"Puentes, Paola Ruiz; Hena....(Antibiotics (Basel))",2020.11.30
a11676389,â€œFast deep learning computer-aided diagnosis of COVID-19 based on digital chest x-ray imagesâ€,"To achieve more accurate pre-training of deep learning models, a generative adversarial network (GAN) could be used to synthesize images [27] .",a11676389,"Al-antari, Mugahed A.; Hu....(Appl Intell)",2020.11.28
a13254680,An integrated feature frame work for automated segmentation of COVIDâ€19 infection from lung CT images,"28 proposed the integration approach consisting of unsupervised machine learning (self-organizing map), dimensionality reduction (principal component analysis) and computational classification (Adam D",a13254680,"Selvaraj, Deepika; Venkat....(Int J Imaging Syst Technol)",2020.11.23
a13587682,COVID-CheXNet: hybrid deep learning framework for identifying COVID-19 virus in chest X-rays images,These feature maps were fed as input to the adopted deep learning models.,a13587682,"Al-Waisy, Alaa S.; Al-Fah....(Soft comput)",2020.11.21
a12042129,Automated detection of COVID-19 using ensemble of transfer learning with deep convolutional neural network based on CT scans,We design the optimal combination of deep transfer learning outputs using an additional ensemble network.,a12042129,"gifani, Parisa; Shalbaf, ....(Int J Comput Assist Radiol Surg)",2020.11.16
a11634599,IoT Platform for COVID-19 Prevention and Control: A Survey,"The most recent and accurate techniques is deep learning scheme, also referred to as neural network family.",a11634599,,2020.10.15
a13760776,Adaptive Deep Forest for Online Learning from Drifting Data Streams,"The obtained results comparing ARF and the standalone cascade CARF suggest that ADF transfers the capabilities of the alternative deep representation learning, implemented in the original deep forest,",a13760776,,2020.10.14
a11829774,A Hybrid Teaching Method for Undergraduate Biomechanics Lab,"Although actual hands-on testing has been shown to promote deeper learning of abstract concepts, 10 the use of a hybrid model can be implemented to reduce contact and maintain course goals.",a11829774,"Ochia, Ruth....(Biomed Eng Education)",2020.10.13
a11674194,AICov: An Integrative Deep Learning Framework for COVID-19 Forecasting with Population Covariates,"Our pilot identified a sophisticated single deep learning time evolution operator that can describe these 37 separate datasets, and smooth fitted data leads to very accurate deep learning descriptions",a11674194,,2020.10.08
a11339780,Plant Disease Classification: A Comparative Evaluation of Convolutional Neural Networks and Deep Learning Optimizers,"The performance of well-known CNN architectures is presented in Figure 4 , and it indicates that there is no sign of underfitting (the problem occurs during the training of deep learning models accord",a11339780,"Saleem, Muhammad Hammad; ....(Plants (Basel))",2020.10.06
a13342234,A Deep Learning algorithm for modeling and forecasting of COVID-19 in five worst affected states of India,"This work is a demonstration of the applicability and usefulness of the incremental learning technique, as an adaptive deep learning strategy, in data science problems where training data is not avail",a13342234,,2020.09.30
a13365626,Spatial weight matrix in dimensionality reduction reconstruction for micro-electromechanical system-based photoacoustic microscopy,"In addition, deep learning was introduced into the OR-PAM by Davoudi; a U-net was utilized so that the OR-PAM could eliminate artifacts and improve the signal-to-noise ratio [17] .",a13365626,"Ma, Yuanzheng; Lu, Chang;....(Vis Comput Ind Biomed Art)",2020.09.30
a10944154,Deep learning for misinformation detection on online social networks: a survey and new perspectives,"Therefore, deep learning-based MID is still an active research topic and needs to be extended in future research.",a10944154,"Islam, Md Rafiqul; Liu, S....(Soc Netw Anal Min)",2020.09.29
a11469967,Radiomics for Gleason Score Detection through Deep Learning,"Moreover, to evaluate the effectiveness of the proposed deep learning network we take into account an additional data-set composed of normal cases.",a11469967,"Brunese, Luca; Mercaldo, ....(Sensors (Basel))",2020.09.21
a13371111,COVIDetectioNet: COVID-19 diagnosis system based on X-ray images using features selected from pre-learned deep features ensemble,"In addition, the transfer learning approach was used for these deep architectures.",a13371111,"Turkoglu, Muammer....(Appl Intell)",2020.09.18
a10970702,TermInformer: unsupervised term mining and analysis in biomedical literature,The word representations are computable and have actively promoted the development of deep learning NLP.,a10970702,"Tiwari, Prayag; Uprety, S....(Neural Comput Appl)",2020.09.16
a11675743,Contrastive Cross-site Learning with Redesigned Net for COVID-19 CT Classification,[6] developed COVID-Net using data collected from different repositories to build an accurate deep learning classifier for X-Ray images.,a11675743,"Wang, Zhao; Liu, Quande; ....(IEEE journal of biomedical and health informatics)",2020.09.15
a13379743,Spoiled for Choice? Personalized Recommendation for Healthcare Decisions: A Multi-Armed Bandit Approach,"In addition, we enhance the learning process of the deep branch by an auxiliary loss function with the healthcare outcome as the goal.",a13379743,,2020.09.13
a13389326,The de.NBI / ELIXIR-DE training platform - Bioinformatics training in Germany and across Europe within ELIXIR,"In addition, CIBI offers a deep learning course especially for image-based problems.",a13389326,"Wibberg, Daniel; Batut, B....(F1000Res)",2020.09.11
a4631710,Lumen: A Machine Learning Framework to Expose Influence Cues in Text,Figure 1 illustrates Lumen's two-level hierarchical learning-based architecture.,a4631710,,2021.07.12
a9240149,Clinical profiles at the time of diagnosis of COVID-19 in Costa Rica during the pre-vaccination period using a machine learning approach,"Afterward, to define the groups based on the 18 symptoms of the 18 974 patients, a machine learning strategy was implemented using Hierarchical Clustering (HC).",a9240149,,2021.06.23
a4845043,Leveraging Deep Learning for Designing Healthcare Analytics Heuristic for Diagnostics,"Louvain clustering, manifold learning and hierarchical clustering are applied to model our proposed heuristic named as Louvain Mani-Hierarchical Fold Learning (LMHFL) in orange framework.",a4845043,"Shafqat, Sarah; Fayyaz, M....(Neural Process Lett)",2021.02.02
a1433433,Predicting COVID-19 malignant progression with AI techniques,"Unlike the traditional predictive model using a hand - crafted feature extractor and shallow classifiers , our deep learning - based method using a multilayer perceptron combined with an LSTM to this",a1433433,,2020.03.23
a1180109,Mining Social Media and Web Searches For Disease Detection,"Subdue was devised for general purpose automated discovery , concept learning , and hierarchical clustering .",a1180109,"Yang, Y. Tony; Horneffer,....(J Public Health Res)",2013.05.31
0,0,0,0,0,0
a5625063,Brain Organoids: Studying Human Brain Development and Diseases in a Dish,"For example, air-liquid interface culture techniques were established to improve neuronal survival and axonal growth, resulting in active neuronal networks and circuit formation with functional neuron",a5625063,"Xu, Jie; Wen, Zhexing....(Stem Cells Int)",2021.09.09
a7441788,"SARS-CoV-2, Trait Anxiety, and the Microbiome","Given the nature of CNS viruses that infiltrate and hijack energy-generating systems for replication and survival, they are predicted to infect localized, high neuronal-density networks in the brain d",a7441788,"BÃ¼ttiker, Pascal; Weisse....(Front Psychiatry)",2021.09.08
a4568028,Stronger connectivity and higher extraversion protect against stress-related deterioration of cognitive functions,"In the context of the current study, the decision by Pandemics to continue engagement in the study, despite risk, could be reinforced by a lower reconfiguration capability of neuronal networks and sub",a4568028,"Rogala, Jacek; Dreszer, J....(Sci Rep)",2021.08.31
