RandR_ID,"Article_title, link to abstract, related articles pubmed, etc.",Sentence (search term in bold),Graphic user interface,Lead author and journal,Publication date ASC
a12084062,Machine Learning Approaches to Identify Patient Comorbidities and Symptoms That Increased Risk of Mortality in COVID-19,"Following our meta-analysis of the published literature, we also sought to assess recent COVID-19 clinical case data available from open-source online repositories; this allowed us to apply additional",a12084062,"Aktar, Sakifa; Talukder, ....(Diagnostics (Basel))",2021.07.31
a11691134,Automatic COVID-19 Detection Using Exemplar Hybrid Deep Features with X-ray Images,Many methods have been proposed to detect COVID-19 accurately using image processing and machine learning techniques.,a11691134,"Barua, Prabal Datta; Muha....(Int J Environ Res Public Health)",2021.07.29
a11904929,The Applications of Artificial Intelligence in Chest Imaging of COVID-19 Patients: A Literature Review,"In addition, some machine learning models may show over and under-fitting bias.",a11904929,"Laino, Maria Elena; Ammir....(Diagnostics (Basel))",2021.07.22
a11012112,The Internet of Things in Geriatric Healthcare,"Further, the prediction of these activities could be made using different machine learning algorithms.",a11012112,"Sahu, Deblu; Pradhan, Bik....(J Healthc Eng)",2021.07.17
a11665104,Revealing the threat of emerging SARS-CoV-2 mutations to antibody therapies,Dataset is important to train accurate machine learning models.,a11665104,"Chen, Jiahui; Gao, Kaifu;....(J Mol Biol)",2021.07.14
a10312453,"Data Science and Analytics: An Overview from Data-Driven Smart Computing, Decision-Making and Applications Perspective","Overall, advanced analytics methods by taking into account machine learning modeling can play a significant role to extract insightful patterns from these log data, which can be used for building auto",a10312453,"Sarker, Iqbal H.....(SN Comput Sci)",2021.07.12
a11399229,Multi-omic profiling of plasma reveals molecular alterations in children with COVID-19,"Finally, an ensemble machine learning algorithm, Adaptive Boosting or AdaBoost, was used to determine the final gene combination with the best performance, and this step was also similar to our FCP.",a11399229,"Wang, Chong; Li, Xufang; ....(Theranostics)",2021.07.06
a12132844,Using Artificial Intelligence for High-Volume Identification of Silicosis and Tuberculosis: A Bio-Ethics Approach,"With this in mind, the use of machine learning to address global health equity challenges merits particular consideration not only of its benefits in identifying existing yet sometimes unobserved patt",a12132844,"Spiegel, Jerry M.; Ehrlic....(Annals of global health)",2021.07.01
a10447606,Computer-Aided-Diagnosis as a Service on Decentralized Medical Cloud for Efficient and Rapid Emergency Response Intelligence,"However, training accurate medical machine learning models requires high-quality data which contains enough samples from each category and specific cases.",a10447606,"Peyvandi, Amirhossein; Ma....(New Gener Comput)",2021.06.27
a11565920,Speech-Language Pathology and Audiology in South Africa: Clinical Training and Service in the Era of COVID-19,"Analysed item-level records from 2 standard diagnostic instruments to construct machine learning classifiers optimized for sparsity, interpretability, and accuracy.",a11565920,"Khoza-Shangase, Katijah; ....(International Journal of Telerehabilitation)",2021.06.22
a11591193,"Employability prediction: a survey of current approaches, research challenges and applications",Data mining also can sometimes use machine learning techniques to produce more accurate analysis.,a11591193,"Mezhoudi, Nesrine; Algham....(J Ambient Intell Humaniz Comput)",2021.06.16
a10501093,Towards an Equitable Digital Society: Artificial Intelligence (AI) and Corporate Digital Responsibility (CDR),"Granted, a level of acceptance can be discerned to satisfy machine learning principles, but progress in trying to resolve these issues will be a feature of auditability and understanding of AI decisio",a10501093,"Elliott, Karen; Price, Ro....(Society)",2021.06.14
a11399149,Automatic Detection of Coronavirus Disease (COVID-19) in X-ray and CT Images: A Machine Learning Based Approach,"Table 3 and Figure 6 summarize the accuracy performance of six machine learning algorithms, namely, DT, RF, XGBoost, AdaBoost, Bagging classifier and LightGBM on the feature extracted by deep CNNs.",a11399149,"Kassania, Sara Hosseinzad....(Biocybern Biomed Eng)",2021.06.05
a11399460,Deep Insight: Convolutional Neural Network and its Applications for COVID-19 Prognosis,"[4] [5] [6] , Relevance vector machines, Random forest [7, 8] , Extreme machine learning, AdaBoost [9] , different variants of regression [4] , LSTM [10, 11] , and Deep neural networks [5, 10, [12] [1",a11399460,"Khanday, Nadeem Yousuf; S....(Biomed Signal Process Control)",2021.05.28
a11476246,An African Relational Approach to Healthcare and Big Data Challenges,"In some cases, individuals will not be able to query the assumptions that fundamentally shape these algorithms and machine learning or hold the same accountable.",a11476246,"Ewuoso, Cornelius....(Sci Eng Ethics)",2021.05.28
a10370971,MarioMix: Creating Aligned Playstyles for Bots with Interactive Reinforcement Learning,"For the MarioMix user study, two expert game developers employed in the game industry and lacking knowledge of academic machine learning were asked to create bot behaviors for three game levels of Sup",a10370971,,2021.05.27
a11400276,Maintaining proper health records improves machine learning predictions for novel 2019-nCoV,"The AdaBoost machine learning model is iteratively trained by selecting the training set based on the accurate prediction of the last training as follows: for each iteration k = 1 to K, (1) fit the cl",a11400276,"Khan, Koffka; Ramsahai, E....(BMC Med Inform Decis Mak)",2021.05.27
a11425782,Intellige: A User-Facing Model Explainer for Narrative Explanations,"One such area is sales, where data scientists built predictive machine learning models for account recommendation, covering the entire business landscape from customer acquisition to existing customer",a11425782,,2021.05.27
a10420777,The Concept of Advanced Multi-Sensor Monitoring of Human Stress,"Although this research, which examined 8 different types of machine learning in the EDA and accelerometer signal database, suggests only a very low (0.4%) contribution to the resulting EDA signal qual",a10420777,"Vavrinsky, Erik; Stopjako....(Sensors (Basel))",2021.05.17
a11669662,Automated Assessment of Thoracic-Abdominal Asynchrony in Patients with Morquio Syndrome,"Further, using the ICP parameter, an accurate automated machine learning (ML) system for the classification of normal and abnormal breathing was developed and published [15] .",a11669662,"Ratnagiri, Madhavi V.; Zh....(Diagnostics (Basel))",2021.05.15
a13197029,"Natural history, trajectory, and management of mechanically ventilated COVID-19 patients in the United Kingdom",Machine learning models using admission data predicted mortality with 60% accuracy.,a13197029,"Patel, Brijesh V.; Haar, ....(Intensive Care Med)",2021.05.11
a12268365,"Pilot Randomized Controlled Trial of Feasibility, Acceptability, and Preliminary Efficacy of a Web-Based Physical Activity and Sedentary Time Intervention for Survivors of Physical Inactivity-Related Cancers","Actigraph data were processed using two hybrid machine learning approaches: first, the Choi algorithm was used to calculate accelerometer wear time, then the Sojourn-3 axis algorithm was used to estim",a12268365,"Rees-Punia, Erika; Leach,....(Int J Behav Med)",2021.05.06
a11851617,Visual tools for teaching machine learning in K-12: A ten-year systematic mapping,(abstract:machine learning OR abstract:neural network)) pubyear: since 2010 IEEE Xplore Digital Library ((Abstract:visual programming OR Abstract:block-based programming OR Abstract:gui tool OR Abstra,a11851617,"Gresse von Wangenheim, Ch....(Educ Inf Technol (Dordr))",2021.05.01
a12358871,Measuring economic activity from space: a case study using flying airplanes and COVID-19,"To support such actions, we combine machine learning and satellite data to provide accessible COVID-19 information agilely.",a12358871,"Segundo, Mauricio Pamplon....(Ieee Journal of Selected Topics in Applied Earth Observations and Remote Sensing)",2021.04.21
a11076432,In Defense of the Paper,"It isn't just about applying machine learning to a real world problem, it's about applying machine learning to an actual corporate problems, the solution to which results in increased revenue for the",a11076432,,2021.04.16
a11279014,Aspect based sentiment analysis for demonetization tweets by optimized recurrent neural network using fire fly-oriented multi-verse optimizer,The comparative analysis of the proposed and existing machine learning models for ABSA using demonetization dataset is shown in figure 8 .,a11279014,"Datta, Samik; Chakrabarti....(Sādhanā)",2021.04.16
a11471722,Predicting the Binding of SARS-CoV-2 Peptides to the Major Histocompatibility Complex with Recurrent Neural Networks,Predicting the binding between viral peptides and human proteins from the adaptive immune system using machine learning may serve as a valuable tool to increase the speed of vaccine development in the,a11471722,,2021.04.16
a11581998,Artificial Intelligence and technology in COVID Era: A narrative review,The accuracy observed from machine learning technology (97.25%) is on par with humans (97.53%).,a11581998,"Ahuja, Vanita; Nair, Leks....(J Anaesthesiol Clin Pharmacol)",2021.04.10
a11580452,Microbiome Sample Comparison and Search: From Pair-Wise Calculations to Model-Based Matching,"Though distance-based methods, such as Striped UniFrac (McDonald et al., 2018) and Meta-Prism 5 , have been optimized to the minimum usage of memory and near-optimal speed, their accuracies are laggin",a11580452,"Zha, Yuguo; Chong, Hui; N....(Front Microbiol)",2021.04.07
a10417845,Prediction of COVID-19 Mortality to Support Patient Prognosis and Triage and Limits of Current Open-Source Data,This study has shown the substantial accuracy machine learning models can bring in the early detection of mortality in COVID-19.,a10417845,,2021.03.24
a10575397,Ethical Issues in Democratizing Digital Phenotypes and Machine Learning in the Next Generation of Digital Health Technologies,"While democratizing machine learning and artificial intelligence by making them more accessible can be a force for good, it is essential to consider potential negative ramifications.",a10575397,"Mulvenna, Maurice D.; Bon....(Philos Technol)",2021.03.21
a11564661,Predicting the Acceptance of Mobile Learning Applications During COVID-19 Using Machine Learning Prediction Algorithms,The results also found that RandomForest and IBK algorithms are the best two algorithms in predicting the main determinants of mobile learning acceptance as comparison with other machine learning algo,a11564661,"Almaiah, Mohammed Amin; A....(Emerging Technologies During the Era of COVID-19 Pandemic)",2021.03.21
a11646178,Problematic Use of Digital Technologies and Its Impact on Mental Health During COVID-19 Pandemic: Assessment Using Machine Learning,"Therefore, the research problem is to assess addiction to different types of digital technologies during the COVID-19 pandemic and its impact on mental health employing various machine learning techni",a11646178,"Arora, Anshika; Chakrabor....(Emerging Technologies During the Era of COVID-19 Pandemic)",2021.03.21
a11408039,A Scalable Cloud-Based Medical Adherence System with Data Analytic for Enabling Home Hospitalization,"In order to train an accurate machine learning model, the data must be properly formatted.",a11408039,"Sherif, Abubaker Faisal A....(Computational Science and Technology)",2021.03.16
a11664995,Explaining Machine Learning based Diagnosis of COVID-19 from Routine Blood Tests with Decision Trees and Criteria Graphs,"In this context, in this work, we search for an accurate machine learning model for COVID-19 screening based on hematological data and propose two methods to improve the interpretability of the ML dec",a11664995,"Alves, Marcos Antonio; Za....(Comput Biol Med)",2021.03.16
a10403264,Hybrid stacked ensemble combined with genetic algorithms for Prediction of Diabetes,"Other advanced machine learning methods such as deep learning (neural network), decision trees, and support vector machines have also been used to predict warfarin doses [54, 56, 57] , but in these st",a10403264,,2021.03.15
a10787370,Forecasting Key Retail Performance Indicators Using Interpretable Regression,"The other group is composed by models that aare derived from machine learning methods; they achieve high performance, but do not have interpretability or CI.",a10787370,"Panay, Belisario; Baloian....(Sensors (Basel))",2021.03.08
a11620515,"Preschool HABIT-ILE: study protocol for a randomised controlled trial to determine efficacy of intensive rehabilitation compared with usual care to improve motor skills of children, aged 2â€“5 years, with bilateral cerebral palsy","HR and inertial data during assessments and camp will enable (1) testing of existing machine-learning models for activity classification, 26 (2) development of personalized machine-learning models whi",a11620515,"Sakzewski, Leanne; Reedma....(BMJ Open)",2021.03.02
a10986381,Representation learning applications in biological sequence analysis,The development of novel representation learning methods has been actively studied in machine learning research.,a10986381,"Iuchi, Hitoshi; Matsutani....(bioRxiv)",2021.02.27
a11682811,Using Automated Machine Learning to Predict the Mortality of Patients With COVID-19: Prediction Model Development Study,"In recent months, studies have proposed several machine learning models that can accurately predict COVID-19 disease severity.",a11682811,"Ikemura, Kenji; Bellin, E....(J Med Internet Res)",2021.02.26
a11563998,A Comprehensive Review of Computer-Aided Diagnosis of Major Mental and Neurological Disorders and Suicide: A Biostatistical Perspective on Data Mining,A literature search of the online database of PubMed between 2016 and 2021 was performed using the terms (bipolar OR bipolar disorder OR schizophrenia OR suicide OR Alzheimer OR dementia OR major depr,a11563998,"Mansourian, Mahsa; Khadem....(Diagnostics (Basel))",2021.02.25
a10681574,Data-driven analysis of central bank digital currency (CBDC) projects drivers,"To accomplish this, we utilise machine learning techniques to predict the CBDCPI and pick the most important variables for our model.",a10681574,,2021.02.23
a11731713,Bitcoin Abnormal Transaction Detection Based on Machine Learning,We can apply a semisupervised machine learning approach to bitcoin abnormal transaction detection using unknown transactions.,a11731713,"Feldman, Elena V.; Ruchay....(Recent Trends in Analysis of Images, Social Networks and Texts)",2021.02.20
a11684543,Therapeutics Data Commons: Machine Learning Datasets and Tasks for Drug Discovery and Development,"Machine learning models that can accurately predict affinities can not only save pharmaceutical research costs on reducing the amount of high-throughput screening, but also to enlarge the search space",a11684543,,2021.02.18
a12239944,ACTA: A Mobile-Health Solution for Integrated Nudge-Neurofeedback Training for Senior Citizens,"Indeed, as discussed in Section III-C, ACTA exploits advanced machine learning (ML) to create a mutual learning between the predictive model of the machine and the user who is performing the training.",a12239944,,2021.02.17
a11091591,Identifying Heart Failure from Electronic Health Records: A Systematic Evidence Review,"Finally, although prediction modeling was a common application domain for HF populations, few of the identified studies actually used machine learning within their phenotyping algorithms.",a11091591,,2021.02.03
a11408551,Federated Learning in Smart Cities: A Comprehensive Survey,[79] use federated learning and traditional graph learning methods to build a more accurate machine learning model.,a11408551,,2021.02.02
a11486889,Guidance on the Assurance of Machine Learning in Autonomous Systems (AMLAS),"However, due to the increasing transfer of complex perception and decision functions from an accountable human agent to the machine learning component, the difference between the implicit intentions o",a11486889,,2021.02.02
a11854934,Leveraging IoT and Weather Conditions to Estimate the Riders Waiting for the Bus Transit on Campus,The proposed system estimates the number of passengers with a machine learning technique taking as an input anonymous and abstracted Wi-Fi capture data at each bus stop and weather data as shown in Fi,a11854934,,2021.02.02
a10365185,Soliciting Stakeholders' Fairness Notions in Child Maltreatment Predictive Systems,"There has been significant development in research on machine learning fairness and accountability in recent years [2, 17, 30, 57, 60, 71] .",a10365185,,2021.02.01
a11676004,A data analytics approach for COVID-19 spread and end prediction (with a case study in Iran),"Our study area is categorized into two parts due to variables: (1) first, we desire to predict the number of cases with machine-learning algorithms as much as accurate.",a11676004,"Behnam, Arman; Jahanmahin....(Model Earth Syst Environ)",2021.01.30
a11144517,Fusing RGB and Thermal Imagery with Channel State Information for Abnormal Activity Detection Using Multimodal Bidirectional LSTM,"Moving on from the input modalities to the machine learning models used for abnormal activity detection, it is clear that deep learning techniques, and especially Convolutional Neural Networks (CNN),",a11144517,"Bakalos, Nikolaos; Voulod....(Cyber-Physical Security for Critical Infrastructures Protection)",2021.01.28
a11582724,Distinct Features and Functions of Systemic and Mucosal Humoral Immunity Among SARS-CoV-2 Convalescent Individuals,"This technique utilizes high-throughput, multidimensional biophysical profiling of antibody response features, cell-based assays of Ab neutralization and effector functions, and machine learning as a",a11582724,"Butler, Savannah E.; Crow....(Front Immunol)",2021.01.28
a12110418,Efficient Detection of Knee Anterior Cruciate Ligament from Magnetic Resonance Imaging Using Deep Learning Approach,The results were better as compared to the semi-automated earlier work of KneeMRI [23] for ACL tear detection in the case of machine learning.,a12110418,"Javed Awan, Mazhar; Mohd ....(Diagnostics (Basel))",2021.01.11
a10399312,Ultrasound-based internal carotid artery plaque characterization using deep learning paradigm on a supercomputer: a cardiovascular disease/stroke risk assessment system.,"The benchmarking results show that DL with augmentation (ACC: 89.7%, AUC: 0.91 (p-value less than 0.0001)) is superior to previously published machine learning (ACC: 83.7%) by 6.0%.",a10399312,"Saba, Luca; Sanagala, Ska....(The international journal of cardiovascular imaging)",2021.01.09
a12857096,Machine learning-based prediction models for accidental hypothermia patients,"Hence, this study may support machine learning implementation in actual clinical settings.",a12857096,"Okada, Yohei; Matsuyama, ....(J Intensive Care)",2021.01.09
a10451225,Prediction of the confirmed cases and deaths of global COVID-19 using artificial intelligence,It is difficult to cultivate accurate machine learning models with small datasets.,a10451225,"Guo, Qingchun; He, Zhenfa....(Environ Sci Pollut Res Int)",2021.01.07
a10756867,User Ex Machina : Simulation as a Design Probe in Human-in-the-Loop Text Analytics,"While we use this list to motivate our implemented refinements, and attempt to maintain at least the spirit of these requested actions, a limitation of this prior work was that it only considered the",a10756867,,2021.01.06
a10206653,State of the evidence: a survey of global disparities in clinical trials,"We automatically identify the subset of articles that describe RCTs using a machine learning system, which operates over the text of the title and abstract, and the Publication Type database index.",a10206653,"Marshall, Iain James; L'E....(BMJ Glob Health)",2021.01.05
a10863430,Advances in Electron Microscopy with Deep Learning,"[1386] (RL) is where a machine learning system, or actor, is trained to perform a sequence of actions.",a10863430,,2021.01.04
a11408288,Prediction of well-being and insight into work-life integration among physicians using machine learning approach.,The most accurate machine learning model showed a mean area under the curve of 0.72.,a11408288,"Nishi, Masahiro; Yamano, ....(PloS one)",2021.01.01
a11701158,Assessing cognitive test performance using automatic digital pen features analysis,"The presented research describes the architecture of our cognitive assessment tool and examines how accurately different machine learning (ML) models can automatically score cognitive tests, without a",a11701158,"Prange, A.; Sonntag, D.....(29th ACM Conference on User Modeling, Adaptation and Personalization, UMAP 2021)",2021.01.01
a12781538,Convolutional Neural Network for Elderly Wandering Prediction in Indoor Scenarios,"The use of machine learning was already present in activity tracking, an example is (Akbar et al., 2019) that uses data from wearable sensors such as a wristband for heart rate monitoring and neural n",a12781538,,2020.12.23
a11906574,Epidemic Dynamics via Wavelet Theory and Machine Learning with Applications to Covid-19,"Here, we present, now using in addition data-driven machine learning-based curve fitting, some of our model's predictions to selected countries and US federal states, which are based on the currently",a11906574,"Tat Dat, TÃ´; FrÃ©dÃ©ric,....(Biology (Basel))",2020.12.18
a11676217,Supercomputer-Based Ensemble Docking Drug Discovery Pipeline with Application to Covid-19,"To this end, accurate, physicsbased, machine-learned models for the docking and affinity have been trained using the PDBbind database, a data set consisting of experimentally determined proteinâˆ’liga",a11676217,"Acharya, A.; Agarwal, R.;....(J Chem Inf Model)",2020.12.16
a11851656,Shaping a data-driven era in dementia care pathway through computational neurology approaches,They can come in the form of abstract machine learning or functional brain Fig.,a11851656,"Wong-Lin, KongFatt; McCle....(BMC Med)",2020.12.16
a10294778,"The good, the bad and the ugly on COVID-19 tourism recovery",This is an important finding and one that is of particular significance in light of the recent development of machine learning methodologies and their increasing adoption by the academic community.,a10294778,"Fotiadis, Anestis; Polyzo....(Ann Tour Res)",2020.12.13
a11707582,From controlled to undisciplined data: estimating causal effects in the era of data science using a potential outcome framework,"(2011) and Hill (2011) , have been used to estimate CATE, especially in the presence of high dimensional X. Despite accurately estimating the CATE using machine learning methods, these methods offer l",a11707582,,2020.12.12
a12409391,A Multi-mRNA Host-Response Molecular Blood Test for the Diagnosis and Prognosis of Acute Infections and Sepsis: Proceedings from a Clinical Advisory Panel,"Isothermal amplification is then used to amplify and quantitate the 29-mRNAs (plus housekeeping genes), which are then fed to machine learning algorithms to produce actionable scores (see 2.1.4).",a12409391,"Ducharme, James; Self, We....(J Pers Med)",2020.12.07
a11578980,Applied Machine Learning for Games: A Graduate School Course,Procedural Content Generation via Machine Learning (abbreviated PCGML),a11578980,,2020.11.30
a10406986,Early survey with bibliometric analysis on machine learning approaches in controlling COVID-19 outbreaks,Only 57 document results were extracted using the keyword COVID-19 and machine learning from the same academic database.,a10406986,"Chiroma, Haruna; Ezugwu, ....(PeerJ Comput Sci)",2020.11.23
a10578827,The Nooscope manifested: AI as instrument of knowledge extractivism,"How to sketch, then, a critical grammar of machine learning that may be concise and accessible, without playing into the paranoid game of defining General Intelligence?",a10578827,"Pasquinelli, Matteo; Jole....(AI Soc)",2020.11.21
a12714205,Experimenting with inputs,"Besides, thinking this feature has been implemented about 3 years ago already shows that a major technology company like Google has been actively exploring the potential of using machine learning with",a12714205,"Gerard, Charlie....(Practical Machine Learning in JavaScript)",2020.11.17
a11392657,Intra-host evolution during SARS-CoV-2 persistent infection,"Using the caret R package (Kuhn 2008) , we built a machine learning model based on the ADA Boost algorithm (Hastie et al. 2009 ) optimized for tuning of parameters to evaluate classification of patien",a11392657,,2020.11.16
a10430098,Real-time Artificial Intelligence for Accelerator Control: A Study at the Fermilab Booster,In Section II we briefly highlight some previous publications at the intersection of machine learning and accelerator control.,a10430098,,2020.11.14
a10960438,Enhanced medical diagnosis for dOCTors: a perspective of optical coherence tomography,Active learning and knowledge transfer can improve learning speed and accuracy.,a10960438,"Leitgeb, Rainer; Placzek,....(J Biomed Opt)",2021.10.20
a11550218,CovXmlc: High performance COVID-19 detection on X-ray images using Multi-Model classification,In [25] authors proposed a deep-learning model by modifying inception transfer learning to achieve accuracy up to 92.4.,a11550218,"Verma, Sourabh Singh; Pra....(Biomed Signal Process Control)",2021.10.20
a10569226,Predicting novel drug candidates against Covid-19 using generative deep neural networks,"In order to achieve this, we perform transfer learning by adding a small set of commercially available known active inhibitors [19] , HIV inhibitors [46] to the generated set of valid molecules.",a10569226,"Amilpur, Santhosh; Bhukya....(J Mol Graph Model)",2021.10.13
a10364077,The Impact of the COVID-19 Pandemic on Dental Education: An Online Survey of Studentsâ€™ Perceptions and Attitudes,"In Croatia, all onsite university-level classes were suspended on 13 March 2020 and transferred to online learning until the end of the academic semester.",a10364077,"Badovinac, Ana; Par, Mate....(Dent J (Basel))",2021.10.09
