RandR_ID,"Article_title, link to abstract, related articles pubmed, etc.",Sentence (search term in bold),Graphic user interface,Lead author and journal,Publication date ASC
a6332763,Novel Biomimetic Human TLR2-Derived Peptides for Potential Targeting of Lipoteichoic Acid: An In Silico Assessment,"Molecular docking of LTA to the binding site on human TLR2 revealed the nine best poses of LTA bound to TLR2, with their respective binding affinities ( Figure 1 ).",a6332763,"Devnarain, Nikita; Waddad....(Biomedicines)",2021.08.21
a13890813,Antiviral fungal metabolites and some insights into their contributionto the current COVID-19 pandemic,In silico molecular docking analysis and ADMET predictions,a13890813,"Aparecida Takahashi, Jacq....(Bioorg Med Chem)",2021.08.13
a13894242,"Molecular docking and dynamic simulations of Cefixime, Etoposide and Nebrodenside A against the pathogenic proteins of SARS-CoV-2","Molecular docking, pharmacological and toxicological property predictions (ADMET), efficiency calculations of ligands, and molecular dynamics simulations in conjunction with MM-GBSA binding free energ",a13894242,"Rashid, Haroon; Ahmad, Na....(J Mol Struct)",2021.08.13
a11704697,A novel framework integrating AI model and enzymological experiments promotes identification of SARS-CoV-2 3CL protease inhibitors and activity-based probe,This result suggests that molecular docking cannot capture this critical feature accurately.,a11704697,"Hu, Fan; Wang, Lei; Hu, Y....(Brief Bioinform)",2021.08.09
a5841398,"Supercomputing, Docking and Quantum Mechanics in Quest for Inhibitors of Papain-like Protease of SARS-CoV-2",Low-molecular-weight organic molecules subject to docking are prepared with considering different protomers at pH 7.4 and conformers of macrocycles.,a5841398,"Sulimov, A. V.; Ilin, I. ....(Lobachevskii J Math)",2021.08.09
a4963111,"Synthesis, antimicrobial activity, density functional modelling and molecular docking with COVID-19 main protease studies of benzoxazole derivative: 2-(p-chloro-benzyl)-5-[3-(4-ethly-1-piperazynl) propionamido]-benzoxazole","While traditional methods of drug discovery can take many years with high costs, the possible medications are investigated by using molecular docking studies in a short time and with very low costs.",a4963111,"Zeyrek, Celal TuÄŸrul; Ar....(J Mol Struct)",2021.08.05
a10133589,Quantum simulations of SARS-CoV-2 main protease M(pro) enable high-quality scoring of diverse ligands,"From this computational screen, 100 molecules were identified as having the potential to bind to M pro using a combination of molecular docking and absolute binding free energy calculations.",a10133589,"Wang, Yuhang; Murlidaran,....(J Comput Aided Mol Des)",2021.07.30
a4830214,Advances in the computational landscape for repurposed drugs against COVID-19,"The criterion for repurposing is the high binding affinity of the drugs to viral proteins, which is estimated using molecular docking or machine learning.",a4830214,"Aronskyy, Illya; Masoudi-....(Drug Discov Today)",2021.07.30
a9784133,"COVID-19: Vaccine Delivery System, Drug Repurposing and Application of Molecular Modeling Approach","Tejera et al 106 indicated that levothyroxine, amobarbital and ABP-700 were the best potential inhibitors of the SARS-CoV-2 virus through their binding to the M pro enzyme using molecular docking appr",a9784133,"Abd El Hadi, Soha R; Zien....(Drug Des Devel Ther)",2021.07.30
a5677358,MEMES: Machine learning framework for Enhanced MolEcular Screening,2 it is quite evident that the ExactMEMES method significantly outperforms the random sampling baseline and matches the mean docking score of actual top compounds present in the molecular library.,a5677358,"Mehta, Sarvesh; Laghuvara....(Chemical science)",2021.07.26
a10890526,Rilpivirine inhibits SARS-CoV-2 protein targets: A potential multi-target drug,"In the process of molecular docking, based on predicted active sites, the grid box was set to 60 Following the preparation of the ligand and proteins for docking, Auto Dock Tools 1.5.6 was applied to",a10890526,"Ameen, Fuad; Mamidala, Es....(J Infect Public Health)",2021.07.21
a13888616,Anti-HIV reverse transcriptase plant polyphenolic natural products with in silico inhibitory properties on seven non-structural proteins vital in SARS-CoV-2 pathogenesis,"Molecular dynamics (MD) simulation was performed on the top-binding ligands, chosen based on molecular docking and ADMET analyses, to assess at an atomic level the binding behavior of the various poly",a13888616,"de Leon, Von Novi O.; Man....(J Genet Eng Biotechnol)",2021.07.16
a12395580,"Design, synthesis, characterization, and antioxidant activity studies of novel thienyl-pyrazoles","Furthermore, an in silico molecular docking and ADMET analysis was carried out to validate the results and their mode of action.",a12395580,"Kumara, Karthik; Prabhude....(Heliyon)",2021.07.15
a8658979,Inhibition of SARS-CoV-2 pseudovirus invasion by ACE2 protecting and Spike neutralizing peptides: An alternative approach to COVID19 prevention and therapy,"In addition, non-cell based peptide-protein binding assay also revealed a strong interaction between AYn1 and S-protein (Fig. 2b) , consistent with the results of molecular docking and LSPR.",a8658979,"Chen, Jiang; Li, Song; Le....(Int J Biol Sci)",2021.07.13
a13608416,"Antimicrobial Activity of 1,3,4-Oxadiazole Derivatives","Additionally, antioxidant tests and molecular docking studies were performed.",a13608416,"Glomb, Teresa; ÅšwiÄ…tek,....(Int J Mol Sci)",2021.06.29
a6187515,"3CL(pro) and PL(pro) affinity, a docking study to fight COVID19 based on 900 compounds from PubChem and literature. Are there new drugs to be found?",Upon closer examination of ligand efficacies of the redocked compounds it becomes clear that several of the best scoring compounds are biased towards lower docking scores due to their molecular weight,a6187515,"Å teklÃ¡Ä, Marek; ZajaÄ....(J Mol Struct)",2021.06.28
a13883350,An Updated Review of Computer-Aided Drug Design and Its Application to COVID-19,(2021) explored the potentiality of antiviral phytocompound from Andrographis paniculata as an SARS-CoV-2 main protease (M pro ) inhibitor using molecular docking and ADME prediction [151] .,a13883350,"Gurung, Arun Bahadur; Ali....(Biomed Res Int)",2021.06.24
a6046865,Myricetin Inhibits SARS-CoV-2 Viral Replication by Targeting M(pro) and Ameliorates Pulmonary Inflammation,"We identified that Myricetin has effective inhibition on enzymatic activity, the inhibition rate reached 97.79%, but, other compounds did not show obvious inhibitory activity, including Oleuropein, Vi",a6046865,"Xiao, Ting; Cui, Mengqi; ....(Front Pharmacol)",2021.06.17
a11904965,"Antiviral, Antibacterial, Antifungal, and Antiparasitic Properties of Propolis: A Review","In addition, molecular docking studies by Sahlan et al.",a11904965,"Zulhendri, Felix; Chandra....(Foods)",2021.06.11
a12413402,A Multidisciplinary Approach to Coronavirus Disease (COVID-19),A recent work on the inhibitory action of azo-imidazole derivatives against SARS-CoV-2 M pro presented four new synthesized compounds (7-10) as promising agents by comparing the efficacy of the molecu,a12413402,"Gediz Erturk, Aliye; Sahi....(Molecules)",2021.06.09
a9224858,A Survey of Current Resources to Study lncRNA-Protein Interactions,"Computational strategies for LPI prediction can be divided into two high-level categories, molecular docking and machine learning.",a9224858,"Philip, Melcy; Chen, Tyro....(Noncoding RNA)",2021.06.08
a9237710,Heterologous expression of cyanobacterial PCS confers augmented arsenic and cadmium stress tolerance and higher artemisinin in Artemisia annua hairy roots,The molecular docking studies between ligands (Cadmium chloride; CdCl 2 and sodium arsenate; Na 2 HAsO 4 .7H 2 O) and the AaPCS and anaPCS protein sequences were carried out using Hex 8.0 molecular do,a9237710,"Pandey, Neha; Rai, Krishn....(Plant Biotechnol Rep)",2021.06.07
a9224886,Schistosomiasis Drug Discovery in the Era of Automation and Artificial Intelligence,"To compensate for this, molecular docking and machine learning can be used to virtually screen a large number of fragments and prioritize the most promising for experimental testing (224, (239) (240)",a9224886,"Moreira-Filho, JosÃ© T.; ....(Front Immunol)",2021.05.31
a13369796,Thiazole Ringâ€”A Biologically Active Scaffold,"In addition, molecular docking studies were in agreement with the biological data.",a13369796,"Petrou, Anthi; Fesatidou,....(Molecules)",2021.05.25
a12620423,"Synthesis and Characterization of Some New Quinoxalin-2(1H)one and 2-Methyl-3H-quinazolin-4-one Derivatives Targeting the Onset and Progression of CRC with SRA, Molecular Docking, and ADMET Analyses","The bioactive compounds: (6d; anti-COX-2), (4c; anti-B. fragilis) and (6a; anti-E. coli) were subjected to in silico molecular docking analyses in the active sites of COX-2, metallo-Î²-lactamase, and",a12620423,"El-Sayed, Nahed N. E.; Al....(Molecules)",2021.05.23
a4653397,Natural medicinal plant products as an immune-boosters: A possible role to lessen the impact of Covid-19,"Successfully inhibition of Covid-19 by combination molecular docking of the oseltamivir, ritonavir and lopinavir were supremely active against SARSCoV-2 protease protein Nisha Muralidharan et al., 202",a4653397,,2021.05.05
a9771587,"Synthesis, molecular docking, and in silico ADMET studies of 4-benzyl-1-(2,4,6-trimethyl-benzyl)-piperidine: Potential Inhibitor of SARS-CoV2",Further M1BZP is evaluated for its potential against COVID-19 proteins through molecular docking.,a9771587,"Nandini Asha, R.; Ravindr....(Bioorg Chem)",2021.05.05
a11824826,Molecular Docking and Dynamics Simulation Revealed the Potential Inhibitory Activity of ACEIs Against SARS-CoV-2 Targeting the hACE2 Receptor,"Keywords: COVID-19, molecular docking, molecular dynamics, ACEIs, hACE2",a11824826,"Al-Karmalawy, Ahmed A.; D....(Front Chem)",2021.05.04
a11583889,Proposal of novel natural inhibitors of severe acute respiratory syndrome coronavirus 2 main protease: Molecular docking and ab initio fragment molecular orbital calculations,"In the development of these drugs, it is essential to identify and evaluate novel drug lead compounds for treating In the present study, using molecular docking and ab initio molecular orbital calcula",a11583889,"Shaji, Divya; Yamamoto, S....(Biophys Chem)",2021.04.29
a13888645,Dieckol and Its Derivatives as Potential Inhibitors of SARS-CoV-2 Spike Protein (UK Strain: VUI 202012/01): A Computational Study,"Further, we utilized the structure of Dieckol as scaffold to generate different derivatives using ChemSketch and subjected them to XP molecular docking and ADMET analysis.",a13888645,"Aatif, Mohammad; Muteeb, ....(Mar Drugs)",2021.04.25
a13885047,Screening of potent phytochemical inhibitors against SARS-CoV-2 protease and its two Asian mutants,"Previously, andrographolide from Andrographis paniculata has been identified in silico as a potential inhibitor of the SARS-COV-2 main protease (M pro ) by molecular docking analysis, toxicity and ADM",a13885047,"Muhammad, Ijaz; Rahman, N....(Comput Biol Med)",2021.04.16
a9224884,Computational Screening of Potential Inhibitors of Desulfobacter postgatei for Pyrite Scale Prevention in Oil and Gas Wells,"Herein, in this work, we use computer-aided drug design (CADD) techniques, such as homology modeling, molecular docking, and machine learning, to select hits via consensus scoring by screening 100,000",a9224884,"Onawole, Abdulmujeeb T.; ....(ACS Omega)",2021.04.13
a13393022,Artificial intelligence to deep learning: machine intelligence approach for drug discovery,"In addition, over the years, limitations in the use of molecular docking have also been addressed.",a13393022,"Gupta, Rohan; Srivastava,....(Mol Divers)",2021.04.12
a6041175,Structure-based identification of SARS-CoV-2 main protease inhibitors from anti-viral specific chemical libraries: an exhaustive computational screening approach,"Herein, in the present study, employing a set of highly exhaustive computational methods comprising multistep molecular docking, long-range 100 ns molecular dynamics simulations studies, MM-GBSA-based",a6041175,"Bhowmick, Shovonlal; Saha....(Mol Divers)",2021.04.12
a4861344,Adhatoda Vasica attenuates inflammatory and hypoxic responses in preclinical mouse models: potential for repurposing in COVID-19-like conditions,"The impact on SARS-COV2 target protein were investigated for the compounds of Adhatoda Vasica as well as known antiviral, antimalarial and JAK inhibitors compounds by Molecular Docking studies using S",a4861344,"Gheware, Atish; Dholakia,....(Respir Res)",2021.04.06
a5069924,Protease targeted COVID-19 drug discovery: What we have learned from the past SARS-CoV inhibitors?,"The molecular docking study of the most active compound of this series, A019 (Figure 13) , showed that carboxylate function inserted at the S1 sub-site and forming interactions with S144, E143, C145 a",a5069924,"Amin, Sk Abdul; Banerjee,....(Eur J Med Chem)",2021.04.05
a11667081,In search of drugs to alleviate suppression of the host's innate immune responses against SARS-CoV-2 using a molecular modeling approach,"MolDock scoring function used in MVD is one of the most accurate molecular docking algorithms compared to several other such algorithms, and provides accuracy of 87% (Thomsen and Christensen 2006) .",a11667081,"Choudhury, Shuvasish; Mou....(In Silico Pharmacol)",2021.04.04
a12395579,In silico approach of secondary metabolites from Brazilian herbal medicines to search for potential drugs against SARSâ€CoVâ€2,"The review was performed by the PubMed database and the selected natural compounds were subjected to in silico analysis such as QSAR, molecular docking and ADMET.",a12395579,"Amparo, Tatiane R.; Seibe....(Phytother Res)",2021.04.01
a12569898,"Deciphering the Interactions of Bioactive Compounds in Selected Traditional Medicinal Plants against Alzheimerâ€™s Diseases via Pharmacophore Modeling, Auto-QSAR, and Molecular Docking Approaches","Furthermore, we performed molecular docking studies as well as toxicity predictions with these active compounds.",a12569898,"Ojo, Oluwafemi Adeleke; O....(Molecules)",2021.04.01
a6655048,Molecular Modeling of Histamine Receptorsâ€”Recent Advances in Drug Discovery,"The additional molecular docking revealed the crucial role of residues Y 3.33 , Y189 ECL2 , F193 ECL2 , L 5.39 , E 5.46 , W 6.48 , Y 6.51 , M 6.55 , Y 7.35 and F 7.39 in the interaction with H 3 R tar",a6655048,"Mehta, Pakhuri; Miszta, P....(Molecules)",2021.03.22
a9121709,Virtual screening of plant-derived compounds against SARS-CoV-2 viral proteins using computational tools,"In the molecular docking for M pro protein of SARS-Cov-2, the semi-synthetic compound N-(3-J o u r n a l P r e -p r o o f acetylglycyrrhetinoyl)-2-amino-propanol performed better than glycyrrhizic aci",a9121709,"ZÃ­golo, MarÃ­a Antonela;....(Sci Total Environ)",2021.03.17
a11701223,The in-vitro effect of famotidine on sars-cov-2 proteases and virus replication,"Despite recent advances in computational techniques, there are several challenges associated with the use of molecular docking to predict protein-ligand interactions accurately.",a11701223,"Loffredo, Madeline; Lucer....(Sci Rep)",2021.03.08
a13569626,"Mutations in the SARS-CoV-2 spike protein modulate the virus affinity to the human ACE2 receptor, an in silico analysis","To validate the results obtained with the Z-Dock/PRODIGY servers, an additional molecular docking analysis was performed for each spike protein-ACE2 complex using the Haddock server that is broadly us",a13569626,"Ortega, Joseph Thomas; Pu....(EXCLI J)",2021.03.08
a10459474,Structure-based molecular modeling in SAR analysis and lead optimization,[54] Research article; Application of Gaussian Boson Samplers for prediction of accurate molecular docking configurations.,a10459474,"Temml, Veronika; Kutil, Z....(Comput Struct Biotechnol J)",2021.03.04
a4578216,Phytochemicals of Rhus spp. as Potential Inhibitors of the SARS-CoV-2 Main Protease: Molecular Docking and Drug-Likeness Study,e results showed that all tested compounds provided good interaction in the main active site of the SARS-CoV-2 protease enzyme 6LU7 with lower molecular docking energy (kcal/mol) compared to two drugs,a4578216,"Sherif, Yousery E.; Gabr,....(Evid Based Complement Alternat Med)",2021.02.27
a7876911,"In silico evaluation of the compounds of the ayurvedic drug, AYUSH-64, for the action against the SARS-CoV-2 main protease",To affirm Coulombic long-range atomic interactions in the molecular docked complex throughout the molecular dynamic simulations process Smooth Particle Mesh Ewald method is used.,a7876911,"Ram, Thrigulla Saketh; Mu....(J Ayurveda Integr Med)",2021.02.25
a9354852,Estimation of drug-likeness properties of GCâ€“MS separated bioactive compounds in rare medicinal Pleione maculata using molecular docking technique and SwissADME in silico tools,"The paper represents the first report on GC-MS analysis, molecular docking, and drug-likeness study on P. maculata.",a9354852,"Sympli, Hakani D.....(Netw Model Anal Health Inform Bioinform)",2021.02.24
a9108667,Cordifolioside: potent inhibitor against M(pro) of SARS-CoV-2 and immunomodulatory through human TGF-Î² and TNF-Î±,"Therefore, the validated docking protocols have proceeded further in molecular docking of the M pro with cordifolioside, berberine, and magnoflorine compounds of T. cordifolia.",a9108667,"Manne, Munikumar; Goudar,....(3 Biotech)",2021.02.22
a10428758,Evaluation of potential anti-RNA-dependent RNA polymerase (RdRP) drugs against the newly emerged model of COVID-19 RdRP using computational methods,"Before performing docking, the identification and characterization of the binding site should be carried out for a more reliable and accurate molecular docking.",a10428758,"Poustforoosh, Alireza; Ha....(Biophys Chem)",2021.02.20
a10887310,"Field-Template, QSAR, Ensemble Molecular Docking, and 3D-RISM Solvation Studies Expose Potential of FDA-Approved Marine Drugs as SARS-CoVID-2 Main Protease Inhibitors",The stability of biomacromolecules in bulk water molecules generated by Flare molecular docking calculations at the active site was studied using a three-dimensional reference interaction site model (,a10887310,"Kalhotra, Poonam; Chittep....(Molecules)",2021.02.10
a6001300,"Biochemical and Computational Studies of the Interaction between a Glucosamine Derivative, NAPA, and the IKKÎ± Kinase","Therefore, we excluded NAPA from the kinase catalytic site (third position in the FTMap output ranking) in docking experiment by running a local molecular docking.",a6001300,"Lopreiato, Mariangela; Di....(Int J Mol Sci)",2021.02.06
a11957753,A proposed insight into the anti-viral potential of metallic nanoparticles against novel coronavirus disease-19 (COVID-19),"HCQ is more efficient than CQ, based on molecular docking analysis (Achutha et al.",a11957753,"Ibrahim Fouad, Ghadha....(Bull Natl Res Cent)",2021.02.05
a11905170,"Repurposing potential of Ayurvedic medicinal plants derived active principles against SARS-CoV-2 associated target proteins revealed by molecular docking, molecular dynamics and MM-PBSA studies","In addition, we validated molecular docking and molecular dynamic findings using a Bayesian machine learning models using ECFP6 fingerprints and interestingly, prediction score (Pm) and applicability",a11905170,"Kumar Verma, Akalesh; Kum....(Biomed Pharmacother)",2021.02.03
a9755405,De novo design and bioactivity prediction of SARS-CoV-2 main protease inhibitors using recurrent neural network-based transfer learning,The molecules predicted as active were further analysed using molecular docking to investigate possible interactions with M pro .,a9755405,"Santana, Marcos V. S.; Si....(BMC Chem)",2021.02.02
a5623197,Insights into Forsythia Honeysuckle (Lianhuaqingwen) Capsules: A Chinese Herbal Medicine Repurposed for COVID-19 Pandemic,"As demonstrated by molecular docking, forsythoside E, rutin and six other active substances can be well docked with SARS-COV-2 3CL pro to inhibit virus replication .",a5623197,,2021.01.16
a9117265,In silico exploration of novel protease inhibitors against coronavirus 2019 (COVID-19),The structure of the M pro -drug complex was obtained from molecular docking and was simulated for 100 ns using the Fig.,a9117265,"Aghaee, Elham; Ghodrati, ....(Inform Med Unlocked)",2021.01.12
a9753526,Factual insights of the allosteric inhibition mechanism of SARS-CoV-2 main protease by quercetin: an in silico analysis,"In further molecular docking analysis of substrate peptide with M pro (in both quercetin conjugated and free form) proved a significant reduction in the binding affinity of M pro , when complexed with",a9753526,"Verma, Shalja; Pandey, An....(3 Biotech)",2021.01.12
a13881345,Predictive medicinal metabolites from Momordica dioica against comorbidity related proteins of SARS-CoV-2 infections,"The methodology for identification of active compounds with the proteins were followed by the protein selection, ligands and proteins, binding site prediction, molecular docking and prediction of drug",a13881345,"Sakshi, Chavan; Harikrish....(Journal of biomolecular structure & dynamics)",2021.01.11
a9784278,ABBV-744 as a potential inhibitor of SARS-CoV-2 main protease enzyme against COVID-19,The Î±k-13b inhibitor as well as the best optimized lead generated from XP docking were selected to map their potential interactions within the active pocket of SARS-CoV-2 M pro enzyme using molecular,a9784278,"Fakhar, Zeynab; Khan, Sha....(Sci Rep)",2021.01.08
a9800827,Molecular Docking and Molecular Dynamics Aided Virtual Search of OliveNetâ„¢ Directory for Secoiridoids to Combat SARS-CoV-2 Infection and Associated Hyperinflammatory Responses,The interactions revealed by MD were in correlation with intermolecular interactions predicted by molecular docking of DMO to M pro .,a9800827,"Thangavel, Neelaveni; Al ....(Front Mol Biosci)",2021.01.07
a13894226,"Molecular docking, dft studies and admet simulations for evaluating already approved fda drugs as inhibitors for sars-cov-2 rna-dependent polymerase","Methods: Molecular docking studies, DFT studies, ADMET studies.",a13894226,"Vlasiou, M. C.; Ioannou, ....(Letters in Drug Design and Discovery)",2021.01.01
